state,county,fips,trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,demgov16,repgov16,othergov16,repgov14,demgov14,othergov14,total_population,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc
Georgia,Clarke,13059,12717,29603,2656,13815,25431,1122,25474,15529,2203,0,26519,0,NA,NA,NA,8352,16503,601,122037,92700,55.90107918,27.14750445,10.5197604,44.09892082,10.06252202,52.4496669,54.98906069,9.597089407,33116,8.619281046,13.78711975,59.2467407,4.818433874,43.62970739,5.859622667,3
Georgia,Clay,13061,566,697,10,537,862,3,574,560,23,789,465,0,NA,NA,NA,387,538,4,3068,2315,29.13950456,62.32073012,5.052151239,70.86049544,2.640156454,52.05345502,37.05997392,23.89178618,22120,18.94013739,17.65834933,92.56238004,9.626955475,86.04091456,100,9
Georgia,Clayton,13063,12645,78220,1994,14164,81479,424,69400,14918,2428,81939,4314,0,NA,NA,NA,9891,51449,880,270269,173345,11.89185589,67.15235562,13.13728175,88.10814411,14.18808668,52.7441179,46.47517843,8.178148437,42470,12.17885449,16.4394576,80.97126586,19.1432962,85.28620822,0.887735907,1
Georgia,Clinch,13065,1727,686,42,1598,852,22,493,1549,76,0,1914,0,NA,NA,NA,727,406,33,6814,4820,66.09920751,26.7977693,4.490754329,33.90079249,2.876430878,49.83856765,43.36659818,15.13061344,24848,11.27258445,23.56399819,85.61736771,19.78900256,82.32097187,60.4295381,6
Georgia,Cobb,13067,152912,160121,17786,171722,133124,5270,133871,169269,16955,157398,152559,0,NA,NA,NA,118415,87970,6095,728388,487960,53.82076586,25.90830711,12.61978506,46.17923414,15.67928082,51.66271273,40.9728057,10.58295853,68818,6.77931151,8.810853586,55.01419631,5.284866689,49.54716755,0.246193019,1
Georgia,Coffee,13069,9588,4094,233,9248,5057,149,3494,8883,361,3769,9176,0,NA,NA,NA,5236,2751,189,43042,30690,58.9563682,28.01682078,11.04270248,41.0436318,5.871009711,48.82905069,42.55610799,12.57376516,34536,7.271877009,21.25262624,86.91588785,16.45712353,82.96216948,66.58324677,7
Georgia,Colquitt,13071,9898,3463,263,9243,3973,112,2726,9618,337,2964,10122,0,NA,NA,NA,5573,2116,210,46002,29675,56.92361202,22.13164645,18.55354115,43.07638798,10.59953915,50.17825312,42.42206861,13.92330768,33968,7.736865965,27.45672618,87.07578029,16.7158256,83.33780233,58.94984395,6
Georgia,Columbia,13073,43085,18887,2771,41765,16451,707,15800,42891,2443,15284,47061,0,NA,NA,NA,28374,10396,980,139904,99705,70.72063701,16.11891011,6.04342978,29.27936299,6.969779277,51.22155192,41.11533623,11.65584973,71962,6.872962184,8.148455771,64.90022076,7.053614027,64.85567748,16.22774137,2
Georgia,Cook,13075,4176,1753,128,3935,2042,54,1462,4045,187,1556,4288,0,NA,NA,NA,2221,1233,84,17103,12215,65.1406186,27.97170087,5.829386657,34.8593814,2.613576566,51.39449219,41.29684851,14.70502251,35199,5.373013736,23.6188591,86.16159798,20.83985394,83.35941575,59.41203811,6
Georgia,Coweta,13077,42533,16583,2629,39653,15168,734,14088,41972,2815,15567,44493,0,NA,NA,NA,25862,10129,1102,135625,96460,71.77290323,17.4075576,6.630046083,28.22709677,5.696589862,51.21843318,39.87907834,12.46820276,65244,6.569237238,11.39373602,71.91498881,8.803571161,69.01748131,32.93275839,1
Georgia,Crawford,13079,3635,1421,120,3368,1706,59,1193,3494,162,1880,3146,0,NA,NA,NA,2053,1126,65,12483,9700,73.68421053,22.99126812,0.793078587,26.31578947,1.465993752,48.74629496,35.32003525,16.62260675,40459,9.636740072,19.45438283,86.88506261,18.16023739,88.02670623,100,3
Georgia,Crisp,13081,4549,2837,126,4182,3167,47,2245,4546,171,3523,3786,0,NA,NA,NA,3052,1831,95,23061,17040,50.76536143,43.08139283,3.247907723,49.23463857,2.649494818,53.23706691,39.89852999,15.45032739,31672,13.93088553,20.34646292,84.92293505,17.27386222,79.20780842,47.02845685,6
Georgia,Dade,13083,5051,965,226,4471,1411,138,880,4448,347,0,5291,0,NA,NA,NA,2444,858,125,16356,13035,93.9899731,0.641966251,2.133773539,6.010026901,2.268280753,51.14942529,37.06285155,16.94790902,43463,5.848804757,19.91757011,86.20195323,20.24750119,86.815802,72.12769795,2
Georgia,Dawson,13085,9900,1448,417,8847,1241,156,1233,9314,659,0,10364,0,NA,NA,NA,6010,1063,199,22939,17615,93.09908889,0.693142683,3.9408867,6.900911112,3.417760146,50.61249401,35.02768211,18.19172588,59265,7.470334412,13.5214905,70.15925721,13.0157905,69.91357463,80.30900134,1
Georgia,Decatur,13087,6020,4124,142,5824,4591,70,3529,5593,289,4903,5120,0,NA,NA,NA,3288,2664,94,27237,19875,51.19139406,41.87318721,5.628373169,48.80860594,2.834379704,51.46675478,40.06314939,15.49730146,33514,6.650339111,20.49271494,83.11088867,11.80884676,78.28791469,56.47582789,6
Georgia,DeKalb,13089,51468,251370,11919,64392,238224,3649,218383,70994,11761,238363,67098,0,NA,NA,NA,44706,161948,3913,723902,489315,29.19055342,53.62908239,8.726733729,70.80944658,16.27720327,52.45378518,41.29868408,10.33206152,52623,9.764153351,11.43375494,58.25545813,3.233795685,32.37175745,0.263046454,1
Georgia,Dodge,13091,5021,1839,149,5214,2442,77,1441,4766,172,1627,4997,0,NA,NA,NA,3135,1812,135,20995,16285,65.33936652,27.84948797,3.481781377,34.66063348,1.890926411,47.09692784,37.35651346,15.00833532,35544,10.52752294,18.49758787,86.46450724,16.31568391,84.51664661,72.22884933,6
Georgia,Dooly,13093,1951,1872,36,1985,2285,28,1441,2022,70,2172,1490,0,NA,NA,NA,1306,1334,37,14089,10955,42.59351267,48.88210661,7.268081482,57.40648733,3.988927532,45.41131379,34.14720704,15.60792107,33319,9.417356099,25.48980207,88.7370642,14.89041685,82.44520842,53.66671136,6
Georgia,Dougherty,13095,10232,23311,544,11449,26295,175,20354,11048,561,24012,9628,0,NA,NA,NA,7490,15608,335,92326,68025,26.48116457,68.31445097,2.542079154,73.51883543,2.356865888,53.65877434,44.0331001,13.4783268,33605,17.02536972,17.83994773,80.23419768,11.89981348,71.75059952,13.95971025,3
Georgia,Douglas,13097,24817,31005,1916,26241,28441,585,28166,25102,2068,44130,0,0,NA,NA,NA,17393,19224,854,138283,95670,44.61285914,42.89319728,8.999660117,55.38714086,8.380639703,52.06424506,41.90247536,10.34978992,57384,9.039715471,11.74355495,73.85232926,13.6992797,79.86993926,15.75719583,1
Georgia,Early,13099,2552,2168,65,2557,2765,31,1877,2515,112,2739,1905,0,NA,NA,NA,1604,1513,46,10480,7760,46.45038168,50.2480916,2.061068702,53.54961832,1.498091603,53.98854962,38.94083969,18.33969466,28599,7.880567792,20.22022022,85.92878593,17.01359978,80.04440744,65.95203488,6
Georgia,Echols,13101,1007,156,19,917,173,12,146,874,45,0,1050,0,NA,NA,NA,478,134,11,4025,2415,63.50310559,2.037267081,29.71428571,36.49689441,14.80745342,52.52173913,42.43478261,11.13043478,35354,7.035445757,33.0332681,92.13307241,20.96774194,90.15572859,100,3
Georgia,Effingham,13103,17874,4853,731,15596,4947,273,4049,17389,863,1717,19799,0,NA,NA,NA,9332,2927,312,55852,39795,79.81450978,12.98252525,3.681157344,20.18549022,2.710735515,50.3061663,41.83914632,10.58511781,62820,5.99014921,13.79790553,81.72069964,13.1777695,82.77170048,67.05263158,2
Georgia,Elbert,13105,5292,2539,156,4859,3181,103,2154,4960,231,0,6500,0,NA,NA,NA,2818,1748,105,19394,14780,63.78261318,30.34443642,5.424358049,36.21738682,2.242961741,52.38733629,36.18644942,18.88212849,35739,8.292743849,21.53149138,88.30956625,17.25494481,84.351437,70.61886343,6
Georgia,Emanuel,13107,5335,2435,90,5100,2927,56,1974,5062,186,2123,5369,0,NA,NA,NA,3160,1706,100,22723,16910,59.79404128,33.82915988,4.466839766,40.20595872,0.976983673,50.86036175,41.21814901,15.63173877,31522,11.54764489,22.17429399,88.28604165,18.92087073,84.74156608,66.88202496,7
Georgia,Evans,13109,2404,1130,79,2268,1268,27,852,2395,80,955,2437,0,NA,NA,NA,1373,739,37,10733,7545,56.92723377,29.46985931,11.64632442,43.07276623,4.146091494,53.06997112,39.13165005,15.71787944,40594,7.849462366,22.9464536,84.90328007,16.16207603,80.9014341,61.28181818,6
Georgia,Fannin,13111,9632,1923,257,7857,2028,132,1778,8841,462,0,9951,0,NA,NA,NA,5215,1544,140,24017,19625,95.48653037,0.195694716,2.011075488,4.513469626,1.869509098,51.50934755,28.73381355,25.486114,39011,9.227985525,16.9798879,82.27827234,16.5250613,81.65592747,100,8
Georgia,Fayette,13113,35048,23284,2581,38075,19736,757,19602,36356,2549,23323,33242,0,NA,NA,NA,25980,15028,1043,109495,78815,65.00479474,20.74158637,6.989360245,34.99520526,9.227818622,51.61970866,36.73227088,16.03543541,81689,6.345116947,5.425198027,54.22344805,4.337731918,53.60650858,18.17823529,1
Georgia,Floyd,13115,24114,9159,1335,22733,9640,456,7812,23480,1323,0,28845,0,NA,NA,NA,13286,6715,743,96199,68655,71.66706515,14.50222975,10.30156239,28.33293485,6.772419672,51.27911933,40.31642741,15.50431917,42955,9.283897256,20.26663309,80.19926652,16.19744359,77.53277712,36.82216016,3
Georgia,Forsyth,13117,69851,23462,4908,65908,14571,1252,18169,70833,5258,14831,78373,0,NA,NA,NA,44858,10021,1643,203841,129230,76.42476244,2.841430331,9.380350371,23.57523756,14.74041042,50.41527465,39.7010415,11.09148797,91842,4.845947044,7.754130987,51.72979114,5.450707362,52.18696439,9.921885238,1
Georgia,Franklin,13119,7054,1243,205,6114,1499,149,1113,6488,327,0,7569,0,NA,NA,NA,3749,838,114,22188,16770,84.28429782,9.460068505,4.308635298,15.71570218,3.177393186,51.06814494,37.56985758,19.15449793,37298,7.919770774,23.41646873,87.36474004,22.98029186,87.24236498,88.92863612,8
